,No Mhs,Kalkulus 1 TP1,Kalkulus TP2,Kalkulus 1 UTS,Kalkulus 1 UAS,Kalkulus 1 Rata-Rata,Data Sci IoT TP1,Data Sci IoT TP2,Data Sci IoT UTS,Data Sci IoT UAS,Data Sci IoT Rata-Rata,Keamanan Komp TP1,Keamanan Komp TP2,Keamanan Komp UTS,Keamanan Komp UAS,Keamanan Komp Rata-Rata,Jaringan Komp TP1,Jaringan Komp TP2,Jaringan Komp UTS,Jaringan Komp UAS,Jaringan Komp Rata-Rata,Machine Learning Lanjut TP1,Machine Learning Lanjut TP2,Machine Learning Lanjut UTS,Machine Learning Lanjut UAS,Machine Learning Lanjut Rata-Rata,Pemodelan B. Objek TP1,Pemodelan B. Objek TP2,Pemodelan B. Objek UTS,Pemodelan B. Objek UAS,Pemodelan B. Objek Rata-Rata,Pengolahan Gbr Data Sci TP1,Pengolahan Gbr Data Sci TP2,Pengolahan Gbr Data Sci TP3,Pengolahan Gbr Data Sci TP4,Pengolahan Gbr Data Sci Rata-Rata,Pemrograman Web TP1,Pemrograman Web TP2,Pemrograman Web UTS,Pemrograman Web UAS,Pemrograman Web Rata-Rata,Pemrograman Mobile TP1,Pemrograman Mobile TP2,Pemrograman Mobile UTS,Pemrograman Mobile UAS,Pemrograman Mobile Rata-Rata,Blockchain TP1,Blockchain TP2,Blockchain UTS,Blockchain UAS,Blockchain Rata-Rata,Topik Skripsi
10,10,7,10,3,3,6,6,8,8,3,6,12,9,7,10,10,11,12,11,7,10,10,8,12,11,10,9,8,10,7,8,9,6,2,1,4,7,7,4,3,5,8,7,5,3,6,12,10,12,7,10,Machine Learning Lanjut
11,11,6,7,6,2,5,9,12,12,11,11,10,6,9,8,8,10,12,11,8,10,7,8,11,7,8,10,11,12,12,11,7,6,2,5,5,8,6,10,9,8,8,9,7,3,7,5,6,6,2,5,Data Sci IoT
12,12,2,3,3,2,2,7,10,6,6,7,10,8,5,9,8,7,8,8,10,8,10,6,10,9,9,5,6,10,5,6,6,8,2,6,6,9,8,7,10,8,6,10,8,9,8,7,6,7,7,7,Machine Learning Lanjut
13,13,7,6,6,10,7,8,4,7,9,7,12,10,6,9,9,8,10,12,5,9,6,7,9,7,7,6,4,8,8,6,7,9,4,3,6,7,4,1,5,4,9,8,12,5,8,8,12,12,7,10,Jaringan Komp
14,14,9,7,4,5,6,11,9,9,5,8,10,6,10,11,9,6,6,4,4,5,5,6,3,4,4,9,8,11,6,8,5,3,7,1,4,6,5,6,5,6,8,11,4,4,7,6,6,6,10,7,Keamanan Komp
15,15,6,7,8,6,7,8,7,4,9,7,6,10,2,1,5,6,2,3,2,3,5,6,8,10,7,7,8,11,4,8,11,8,11,5,9,12,10,10,10,10,8,9,7,8,8,11,10,6,4,8,Pengolahan Gbr Data Sci
16,16,8,8,4,1,5,2,5,3,3,3,9,5,3,1,4,5,5,10,8,7,5,7,2,1,4,3,5,8,3,5,7,3,8,4,6,3,3,1,6,3,4,3,5,6,4,10,8,6,5,7,Blockchain
17,17,7,8,3,6,6,11,12,9,12,11,12,12,8,11,11,7,3,1,5,4,7,6,6,3,6,7,4,1,6,4,7,4,7,1,5,12,10,6,6,8,9,10,6,10,9,7,9,11,5,8,Pemrograman Mobile
18,18,9,11,7,8,9,12,8,6,11,9,7,6,8,11,8,6,6,2,7,5,5,6,2,5,4,5,9,8,10,8,9,7,10,6,8,6,6,11,10,8,11,10,10,12,11,9,11,7,11,10,Pemrograman Mobile
19,19,6,5,8,2,5,8,11,7,11,9,12,11,8,9,10,7,5,9,5,6,5,9,5,6,6,11,10,7,3,8,6,10,2,4,6,7,5,9,3,6,10,11,9,8,10,5,8,1,6,5,Keamanan Komp
20,20,5,4,8,4,5,6,8,5,6,6,6,10,9,6,8,4,8,1,6,5,8,5,8,7,7,5,2,5,2,4,6,2,7,2,4,7,6,2,1,4,9,9,8,7,8,5,7,6,8,6,Pemrograman Mobile
21,21,6,5,10,2,6,11,10,8,9,10,5,8,6,4,6,10,9,8,8,9,5,8,8,3,6,6,10,11,7,8,8,10,6,3,7,10,12,8,10,10,12,11,7,4,8,10,11,9,6,9,Pemrograman Web
22,22,6,4,6,1,4,10,6,3,6,6,11,11,8,11,10,10,12,11,8,10,6,9,8,10,8,12,12,8,5,9,9,8,8,8,8,10,12,11,8,10,9,9,6,2,6,8,11,10,4,8,Keamanan Komp
23,23,10,11,10,6,9,5,7,3,8,6,6,10,6,9,8,12,8,5,1,6,7,4,7,6,6,12,11,8,8,10,11,9,7,11,10,11,10,11,6,10,11,9,11,5,9,9,5,2,3,5,Pemodelan B. Objek
24,24,9,10,7,3,7,7,10,4,3,6,8,10,10,6,8,5,1,3,3,3,4,7,2,4,4,5,2,6,3,4,3,3,7,7,5,9,7,3,1,5,10,10,7,8,9,4,1,4,1,2,Pemrograman Mobile
25,25,10,8,8,10,9,11,10,11,10,10,10,10,10,10,10,7,7,8,8,8,12,10,8,10,10,11,10,6,2,7,12,12,8,5,9,10,11,12,7,10,7,10,4,6,7,5,2,2,1,2,Machine Learning Lanjut
26,26,11,12,8,6,9,12,12,9,6,10,8,12,4,3,7,9,5,7,6,7,6,4,4,1,4,5,2,2,3,3,6,4,1,3,4,9,12,11,6,10,12,9,5,8,8,9,10,7,3,7,Pemrograman Web
27,27,10,11,8,12,10,11,10,6,5,8,10,6,11,8,9,12,12,12,10,12,6,4,6,1,4,5,2,7,5,5,11,9,6,6,8,10,10,6,6,8,9,9,6,6,8,7,9,11,11,10,Kalkulus 1
28,28,2,3,7,6,4,3,4,6,4,4,2,2,6,7,4,6,6,8,7,7,2,1,4,3,2,3,3,8,8,6,4,5,4,8,5,3,2,7,2,4,6,3,2,1,3,6,6,9,6,7,Blockchain
29,29,10,9,10,12,10,12,12,10,7,10,12,9,7,7,9,12,10,6,10,10,5,5,6,4,5,6,6,2,4,4,12,10,12,8,10,11,7,5,9,8,10,8,6,5,7,12,10,8,10,10,Jaringan Komp
30,30,11,10,10,10,10,12,11,10,10,11,8,4,1,3,4,8,6,4,2,5,6,5,6,5,6,7,6,6,8,7,6,6,2,5,5,12,12,8,10,10,8,4,9,3,6,10,6,9,4,7,Data Sci IoT
31,31,5,2,6,4,4,9,12,9,8,10,9,12,8,12,10,7,6,7,11,8,10,11,8,9,10,10,9,12,5,9,7,9,8,3,7,5,1,3,6,4,10,11,9,10,10,12,12,10,7,10,Machine Learning Lanjut
32,32,10,7,9,6,8,10,7,8,9,8,5,8,6,1,5,2,6,4,4,4,8,10,9,4,8,10,9,8,6,8,6,8,7,4,6,10,6,4,6,6,4,8,9,2,6,2,1,5,5,3,Kalkulus 1
33,33,6,8,4,2,5,10,9,11,11,10,10,8,10,11,10,12,10,10,9,10,12,11,7,12,10,7,10,12,10,10,9,12,11,10,10,6,7,7,6,6,11,10,8,9,10,12,10,11,10,11,Data Sci IoT
34,34,10,11,6,6,8,5,5,7,10,7,5,6,3,8,6,6,3,7,7,6,5,4,5,4,4,11,7,4,9,8,6,3,2,5,4,11,12,7,12,10,12,8,5,8,8,7,5,7,3,6,Kalkulus 1
35,35,11,9,7,8,9,5,1,3,3,3,6,7,11,9,8,11,8,10,4,8,6,5,4,6,5,6,8,8,8,8,11,10,9,10,10,5,7,1,6,5,8,5,8,7,7,11,12,8,10,10,Pengolahan Gbr Data Sci
36,36,2,3,6,1,3,9,8,7,7,8,8,7,10,9,8,3,2,1,4,2,7,9,10,4,8,6,8,8,7,7,5,4,8,1,4,7,5,10,6,7,8,6,9,6,7,8,6,7,5,6,Data Sci IoT
37,37,12,11,12,7,10,11,8,11,7,9,5,8,4,8,6,10,7,10,11,10,11,12,8,7,10,6,3,8,8,6,5,1,5,2,3,10,6,10,6,8,10,10,12,7,10,11,7,7,6,8,Kalkulus 1
38,38,11,11,10,10,10,6,3,7,7,6,7,4,7,4,6,9,9,11,12,10,6,8,11,2,7,9,10,7,3,7,8,9,11,6,8,11,10,11,12,11,9,10,5,5,7,10,9,7,12,10,Kalkulus 1
39,39,9,9,6,3,7,11,12,7,7,9,8,10,5,9,8,5,8,2,6,5,11,9,12,10,10,6,6,6,5,6,11,9,10,11,10,9,10,9,6,8,6,5,10,8,7,12,11,11,9,11,Blockchain
40,40,2,2,2,5,3,5,4,8,2,5,10,7,9,3,7,9,5,1,5,5,8,8,5,1,6,5,4,8,9,6,7,5,8,4,6,4,5,1,2,3,5,2,4,3,4,8,5,3,5,5,Machine Learning Lanjut
41,41,7,8,8,5,7,7,8,9,5,7,5,8,9,2,6,5,4,2,6,4,5,4,4,2,4,6,7,7,8,7,9,10,11,9,10,12,10,12,11,11,9,8,4,2,6,5,5,10,4,6,Kalkulus 1
42,42,10,8,4,9,8,6,9,6,9,8,8,9,9,5,8,7,3,4,4,4,11,10,7,9,9,5,7,6,1,5,10,7,6,5,7,10,6,9,9,8,8,8,6,10,8,11,9,7,9,9,Blockchain
43,43,9,7,10,4,8,6,4,6,7,6,5,5,2,6,4,10,11,7,8,9,12,11,11,12,12,11,7,7,12,9,11,11,8,10,10,6,4,2,3,4,6,3,3,1,3,9,12,10,12,11,Blockchain
44,44,5,3,7,6,5,4,5,9,3,5,9,10,5,2,6,2,5,1,4,3,7,9,8,9,8,2,4,5,5,4,7,6,2,6,5,10,9,10,8,9,8,8,5,8,7,3,5,4,1,3,Machine Learning Lanjut
45,45,10,11,8,5,8,5,1,4,1,3,8,6,2,7,6,5,1,4,2,3,7,3,7,8,6,9,7,11,7,8,12,10,10,7,10,12,9,7,9,9,10,7,10,9,9,8,10,8,7,8,Pengolahan Gbr Data Sci
46,46,11,12,8,12,11,12,10,7,5,8,9,6,7,6,7,12,10,11,7,10,5,1,6,3,4,12,11,7,12,10,11,11,9,5,9,9,11,8,4,8,8,6,3,2,5,10,8,10,5,8,Kalkulus 1
47,47,9,7,4,3,6,6,2,1,5,4,12,11,9,7,10,8,4,9,8,7,7,4,4,8,6,7,9,6,8,8,11,7,12,9,10,9,8,4,3,6,7,6,4,6,6,6,5,3,3,4,Pengolahan Gbr Data Sci
48,48,8,6,6,6,6,9,9,9,5,8,8,9,8,5,8,6,5,5,6,6,3,7,2,2,4,8,4,4,3,5,9,5,4,9,7,3,4,5,8,5,2,3,5,6,4,10,8,6,4,7,Data Sci IoT
49,49,7,5,1,5,4,9,6,2,2,5,7,10,12,5,8,10,9,6,5,8,9,10,10,6,9,8,8,11,8,9,5,4,4,1,4,8,12,6,8,8,7,6,6,9,7,6,2,1,2,3,Machine Learning Lanjut
50,50,7,11,8,4,8,8,4,4,6,6,6,7,8,7,7,10,11,12,11,11,7,9,7,3,6,6,8,2,3,5,8,4,7,9,7,5,4,2,4,4,10,7,10,7,8,9,5,4,8,6,Kalkulus 1
51,51,12,9,6,3,8,7,9,12,11,10,10,11,11,12,11,6,10,3,6,6,9,8,12,11,10,11,9,6,11,9,11,7,11,9,10,6,8,9,8,8,7,4,1,3,4,11,11,8,12,10,Keamanan Komp
52,52,10,8,7,5,8,10,8,7,4,7,8,4,8,1,5,5,4,1,4,4,6,3,8,5,6,8,6,7,3,6,8,5,9,1,6,8,5,5,10,7,3,6,5,2,4,5,9,6,8,7,Pemrograman Web
53,53,10,8,4,8,8,12,8,11,6,9,7,7,11,4,7,12,9,8,12,10,11,7,3,2,6,10,6,5,8,7,9,8,5,8,8,9,7,8,4,7,6,3,4,2,4,10,9,9,7,9,Data Sci IoT
54,54,9,10,10,8,9,8,4,9,7,7,6,3,7,3,5,9,9,11,9,10,11,8,8,9,9,10,12,10,6,10,7,6,8,10,8,6,8,6,8,7,12,10,6,2,8,11,11,10,7,10,Jaringan Komp
55,55,9,10,5,1,6,9,7,6,8,8,12,11,12,7,10,6,7,8,4,6,5,6,1,4,4,5,1,3,1,2,7,5,7,3,6,12,8,8,7,9,12,10,8,5,9,7,7,12,11,9,Pemrograman Mobile
56,56,2,1,3,3,2,5,2,6,4,4,2,6,1,2,3,8,8,5,4,6,2,2,6,1,3,8,10,7,5,8,6,7,8,4,6,5,4,4,2,4,6,10,5,4,6,9,6,2,4,5,Pemodelan B. Objek
57,57,8,10,11,11,10,8,9,8,12,9,11,8,4,8,8,6,8,5,2,5,10,6,5,2,6,5,8,7,3,6,6,5,6,3,5,6,8,10,10,8,11,8,11,11,10,9,9,12,6,9,Kalkulus 1
58,58,9,9,10,5,8,12,11,9,11,11,12,8,7,11,10,9,7,10,12,10,6,9,7,9,8,9,11,5,3,7,6,7,10,10,8,8,12,9,6,9,7,11,10,12,10,5,6,10,9,8,Keamanan Komp
59,59,12,12,9,12,11,10,11,7,12,10,8,7,3,5,6,12,8,12,8,10,10,11,10,7,10,12,10,8,10,10,6,5,5,6,6,12,8,12,5,9,5,7,9,4,6,10,11,11,11,11,Kalkulus 1
60,60,3,1,1,1,2,8,9,5,9,8,7,4,5,6,6,8,4,7,7,6,6,7,8,8,7,10,8,10,9,9,7,8,7,6,7,5,1,2,2,2,2,1,6,4,3,2,5,5,2,4,Data Sci IoT
61,61,10,9,7,7,8,10,9,9,5,8,11,7,11,12,10,9,12,5,2,7,8,5,10,6,7,7,11,7,5,8,10,12,9,7,10,11,11,12,8,10,10,7,12,12,10,6,5,6,8,6,Keamanan Komp
62,62,12,8,6,10,9,11,8,9,7,9,7,4,3,2,4,11,10,7,5,8,5,7,9,8,7,10,8,5,8,8,7,4,6,2,5,5,7,10,5,7,5,8,8,2,6,8,8,7,3,6,Data Sci IoT
63,63,7,3,2,1,3,11,10,7,6,8,9,12,5,6,8,9,9,7,11,9,11,9,6,10,9,9,6,5,7,7,5,1,5,2,3,12,12,12,12,12,6,2,2,1,3,10,9,5,10,8,Jaringan Komp
64,64,2,2,4,3,3,6,10,10,4,8,7,7,8,9,8,4,8,6,9,7,5,1,4,1,3,4,2,4,5,4,9,7,5,8,7,3,1,1,4,2,10,7,3,5,6,9,8,10,6,8,Blockchain
65,65,5,3,2,2,3,10,6,3,3,6,9,7,11,11,10,9,10,5,2,6,10,7,7,8,8,5,1,6,1,3,7,3,2,4,4,11,11,8,8,10,10,11,10,11,10,7,4,6,8,6,Pemrograman Web
66,66,12,10,6,2,8,5,2,3,6,4,6,3,8,6,6,5,5,2,4,4,9,9,9,8,9,6,9,10,7,8,8,12,8,8,9,5,6,9,8,7,12,9,7,12,10,8,7,7,4,6,Machine Learning Lanjut
67,67,7,10,9,9,9,8,4,6,5,6,8,6,4,3,5,5,7,3,5,5,12,10,10,10,10,6,9,8,8,8,5,3,7,3,4,8,6,11,9,8,10,8,7,6,8,10,11,8,11,10,Blockchain
68,68,4,3,2,5,4,9,6,9,8,8,9,10,5,10,8,6,2,1,1,2,6,6,9,9,8,3,4,8,6,5,10,7,5,4,6,6,9,6,6,7,10,8,9,6,8,4,3,8,3,4,Data Sci IoT
69,69,7,7,8,8,8,12,11,9,12,11,9,8,11,9,9,7,6,9,2,6,7,10,7,8,8,9,6,5,6,6,5,9,2,3,5,10,6,7,2,6,8,7,11,8,8,12,11,8,11,10,Blockchain
70,70,12,12,10,10,11,9,5,8,4,6,7,4,4,7,6,12,12,11,10,11,12,8,6,6,8,7,6,4,5,6,11,8,11,12,10,12,11,12,8,11,5,5,6,6,6,9,7,12,8,9,Pemrograman Web
71,71,5,2,1,2,2,6,6,5,5,6,8,9,11,6,8,6,9,11,5,8,7,8,6,2,6,9,9,6,6,8,10,11,12,10,11,7,5,2,6,5,8,10,11,6,9,9,8,7,3,7,Pemrograman Mobile
72,72,10,8,7,7,8,10,7,5,1,6,9,6,8,4,7,5,3,6,7,5,9,8,10,4,8,9,8,9,6,8,3,2,4,3,3,2,1,5,3,3,3,6,7,3,5,6,2,2,7,4,Kalkulus 1
73,73,6,7,11,11,9,10,7,7,7,8,9,11,9,9,10,12,8,7,8,9,11,12,7,9,10,5,5,4,9,6,10,12,7,10,10,7,11,3,1,6,11,9,6,5,8,8,9,10,9,9,Pengolahan Gbr Data Sci
74,74,10,9,11,7,9,9,10,8,4,8,7,5,4,2,4,12,8,5,6,8,6,8,5,10,7,10,7,12,5,8,7,3,8,6,6,9,12,7,7,9,6,3,7,8,6,12,8,4,8,8,Pemrograman Web
75,75,10,10,7,9,9,11,8,5,9,8,9,11,8,6,8,10,7,4,8,7,8,7,12,3,8,9,8,7,10,8,10,7,6,7,8,12,12,12,9,11,5,9,9,1,6,12,9,5,4,8,Kalkulus 1
76,76,7,6,2,5,5,2,2,5,7,4,9,5,9,10,8,5,3,5,3,4,2,3,7,3,4,4,1,3,5,3,8,8,6,3,6,5,8,1,4,4,7,8,9,3,7,7,6,4,7,6,Pengolahan Gbr Data Sci
77,77,8,12,9,11,10,7,5,2,5,5,7,7,6,6,6,7,6,3,4,5,7,6,8,5,6,11,11,12,7,10,12,8,5,6,8,7,10,11,7,9,12,8,6,11,9,8,5,7,8,7,Pemodelan B. Objek
78,78,7,3,4,7,5,9,9,10,6,8,12,9,6,11,10,8,5,10,6,7,5,5,4,2,4,6,3,6,3,4,6,9,3,8,6,11,9,9,11,10,9,8,7,8,8,5,5,1,2,3,Data Sci IoT
79,79,6,7,7,10,8,5,6,10,3,6,10,7,10,3,8,10,7,7,11,9,9,9,5,5,7,12,10,11,9,10,8,5,8,6,7,8,12,6,7,8,8,7,3,8,6,9,7,9,5,8,Kalkulus 1
80,80,6,4,6,7,6,3,1,4,4,3,10,7,6,9,8,8,8,9,10,9,10,6,5,7,7,2,3,5,6,4,10,10,10,6,9,6,8,8,10,8,6,4,7,7,6,4,4,8,4,5,Jaringan Komp
81,81,10,8,6,11,9,5,6,4,2,4,8,8,10,4,8,10,6,5,10,8,12,12,9,8,10,6,9,10,5,8,8,8,12,9,9,7,11,5,7,8,10,6,10,8,8,5,4,8,1,4,Kalkulus 1
82,82,11,11,12,12,12,6,4,6,3,5,6,7,10,8,8,5,1,5,2,3,5,3,2,4,4,8,10,6,4,7,11,8,4,7,8,6,10,7,6,7,5,1,4,6,4,6,9,3,8,6,Keamanan Komp
83,83,12,12,9,12,11,10,7,9,3,7,6,4,5,9,6,11,7,8,4,8,8,11,5,4,7,12,10,6,8,9,8,10,7,10,9,11,9,5,5,8,7,4,1,2,4,11,8,12,8,10,Blockchain
84,84,2,5,2,6,4,7,7,3,1,4,5,7,1,3,4,8,10,8,9,9,4,4,6,6,5,9,8,9,4,8,7,3,4,3,4,5,9,4,3,5,10,7,6,7,8,8,7,4,4,6,Jaringan Komp
85,85,9,10,5,6,8,11,12,11,12,12,10,10,11,11,10,9,8,9,12,10,9,11,6,6,8,8,4,6,3,5,6,8,3,5,6,11,9,8,8,9,9,9,10,5,8,10,12,10,9,10,Data Sci IoT
86,86,12,10,9,10,10,12,9,8,5,8,9,7,12,12,10,6,5,8,2,5,12,9,7,5,8,7,5,5,5,6,7,7,4,4,6,12,12,11,12,12,8,4,1,4,4,12,12,10,10,11,Pemrograman Web
87,87,6,10,5,8,7,10,9,8,4,8,8,7,9,12,9,11,11,9,12,11,7,6,9,2,6,7,4,4,8,6,6,10,10,6,8,12,12,12,9,11,5,9,10,10,8,7,8,4,7,6,Jaringan Komp
88,88,4,2,3,2,3,6,8,5,5,6,4,1,6,5,4,7,7,5,9,7,4,3,5,2,4,10,7,7,4,7,5,5,1,3,4,5,6,10,5,6,4,3,7,1,4,7,7,10,8,8,Blockchain
89,89,9,11,10,10,10,8,4,5,4,5,8,4,4,6,6,7,4,2,1,4,7,3,5,1,4,11,10,10,8,10,7,10,10,4,8,11,12,12,9,11,9,7,3,4,6,11,12,12,9,11,Kalkulus 1
90,90,8,8,11,11,10,7,7,10,6,8,6,4,1,5,4,12,10,12,9,11,11,12,10,9,10,10,10,8,6,8,6,5,1,4,4,12,10,8,7,9,5,8,8,6,7,5,6,9,9,7,Kalkulus 1
91,91,7,9,10,5,8,10,9,12,7,10,10,11,8,9,10,9,11,10,8,10,10,7,5,4,6,6,9,6,7,7,11,9,6,7,8,8,5,3,3,5,5,9,1,5,5,10,11,9,9,10,Jaringan Komp
92,92,8,8,6,4,6,6,6,5,4,5,5,9,2,3,5,4,6,9,2,5,3,7,7,7,6,10,10,9,6,9,6,4,8,6,6,5,7,5,5,6,3,3,4,2,3,3,4,7,6,5,Pemodelan B. Objek
93,93,8,5,10,10,8,12,11,12,9,11,5,7,1,4,4,7,11,11,6,9,5,7,10,7,7,12,10,6,11,10,10,9,5,3,7,12,10,9,12,11,8,10,8,8,8,6,6,6,11,7,Data Sci IoT
94,94,11,7,11,9,10,11,9,12,5,9,7,11,3,6,7,8,12,9,5,8,8,12,5,5,8,6,5,7,9,7,6,2,2,3,3,12,12,12,8,11,10,7,11,8,9,6,9,2,4,5,Pemrograman Web
95,95,9,10,9,8,9,6,3,7,1,4,11,9,5,7,8,6,3,1,4,4,12,11,8,9,10,7,8,12,6,8,6,9,11,4,8,12,8,10,4,8,8,4,2,7,5,12,12,10,6,10,Blockchain
96,96,6,9,3,7,6,9,7,4,6,6,7,10,6,8,8,4,5,7,5,5,5,5,3,3,4,7,8,4,1,5,8,6,4,2,5,9,8,6,4,7,5,7,5,8,6,6,3,3,3,4,Kalkulus 1
97,97,10,8,7,10,9,10,7,7,7,8,12,11,9,5,9,11,8,4,6,7,6,9,3,4,6,8,12,8,5,8,8,4,6,3,5,9,9,8,9,9,8,5,5,9,7,5,9,1,3,4,Keamanan Komp
98,98,9,8,6,2,6,9,10,6,4,7,11,9,6,5,8,10,6,11,11,10,12,10,6,8,9,9,10,9,8,9,9,10,5,4,7,9,5,8,10,8,8,4,4,3,5,10,8,6,5,7,Jaringan Komp
99,99,10,11,12,10,11,6,5,1,6,4,9,6,11,3,7,8,10,6,11,9,11,12,10,8,10,11,9,6,6,8,7,8,10,7,8,6,9,5,5,6,8,4,8,7,7,6,4,8,3,5,Machine Learning Lanjut
100,100,6,8,3,4,5,2,5,7,1,4,4,5,2,3,4,5,6,2,2,4,3,2,4,7,4,3,3,2,4,3,3,2,1,3,2,7,6,8,9,8,3,4,8,3,4,8,4,4,9,6,Pemrograman Web
101,101,8,5,7,9,7,12,8,4,2,6,8,7,11,4,8,7,4,4,9,6,9,9,11,5,8,6,5,9,3,6,5,9,6,5,6,9,5,3,2,5,10,11,12,6,10,8,6,5,7,6,Pemrograman Mobile
102,102,10,6,7,9,8,7,4,8,8,7,5,8,5,4,6,10,11,10,6,9,7,4,8,2,5,8,12,11,11,10,5,3,3,8,5,10,9,9,10,10,11,12,11,9,11,6,9,7,5,7,Pemrograman Mobile
103,103,7,9,9,4,7,6,7,10,7,8,8,12,9,5,8,8,8,5,8,7,9,6,4,1,5,9,9,9,7,8,6,8,8,4,6,7,5,2,7,5,8,7,6,9,8,6,2,4,7,5,Data Sci IoT
104,104,4,5,4,1,4,9,6,3,7,6,4,3,4,2,3,8,4,6,9,7,3,1,1,6,3,3,3,3,5,4,9,8,6,8,8,2,5,6,3,4,6,5,5,6,6,3,3,7,5,4,Jaringan Komp
105,105,7,7,10,6,8,5,7,9,6,7,7,11,12,10,10,8,4,1,5,4,8,7,6,6,7,6,6,3,4,5,12,12,9,5,10,7,5,5,9,6,5,1,4,2,3,12,10,11,7,10,Pengolahan Gbr Data Sci
106,106,12,11,7,12,10,6,2,7,5,5,9,11,12,11,11,6,4,4,8,6,6,7,2,6,5,7,9,4,3,6,8,4,2,1,4,11,11,12,7,10,9,10,10,12,10,11,10,8,7,9,Keamanan Komp
107,107,12,12,9,5,10,11,9,5,4,7,10,12,11,7,10,11,9,7,10,9,8,8,5,1,6,7,5,3,2,4,12,9,7,3,8,11,9,6,9,9,6,3,2,1,3,8,6,2,2,4,Kalkulus 1
108,108,3,3,2,1,2,5,1,5,2,3,7,6,8,9,8,9,9,7,9,8,9,7,8,6,8,7,9,7,6,7,6,8,7,3,6,5,5,10,5,6,5,4,2,4,4,8,5,9,7,7,Jaringan Komp
109,109,11,10,11,11,11,5,6,5,1,4,7,6,2,6,5,7,11,11,3,8,10,12,11,12,11,11,8,12,10,10,10,7,10,7,8,11,7,6,5,7,5,2,2,5,4,9,11,11,7,10,Pemodelan B. Objek
